Zipcode,Region,transit_mode,agency,line_name,station_name,line_station,year_stati,stations_la,stations_lo
20020,39,4,WMATA,Metrorail Green Line(Green),ANACOSTIA METRO STATION,Metrorail Green Line(Green) ANACOSTIA METRO STATION,Pre-2000,38.862117,-76.995325
20020,39,4,WMATA,Metrorail Green Line(Green),CONGRESS HEIGHTS METRO STATION,Metrorail Green Line(Green) CONGRESS HEIGHTS METRO STATION,Pre-2000,38.845379,-76.98786
20024,39,4,WMATA,Metrorail Green Line(Green),WATERFRONT METRO STATION,Metrorail Green Line(Green) WATERFRONT METRO STATION,Pre-2000,38.876478,-77.017189
20024,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",FEDERAL CENTER METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) FEDERAL CENTER METRO STATION",Pre-2000,38.884981,-77.015536
20024,39,4,WMATA,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue)",SMITHSONIAN METRO STATION,"Metrorail Orange Line(Orange), Metrorail Blue Line(Blue) SMITHSONIAN METRO STATION",Pre-2000,38.887587,-77.028174
20024,39,4,WMATA,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue), Metrorail Orange Line(Orange), Metrorail Green Line(Green)",L'ENFANT PLAZA METRO STATION,"Metrorail Yellow Line(Yellow), Metrorail Blue Line(Blue), Metrorail Orange Line(Orange), Metrorail Green Line(Green) L'ENFANT PLAZA METRO STATION",Pre-2000,38.884886,-77.0216
20036,39,4,WMATA,Metrorail Red Line(Red),DUPONT CIRCLE METRO STATION,Metrorail Red Line(Red) DUPONT CIRCLE METRO STATION,Pre-2000,38.911129,-77.044428
20036,39,4,WMATA,Metrorail Red Line(Red),FARRAGUT NORTH METRO STATION,Metrorail Red Line(Red) FARRAGUT NORTH METRO STATION,Pre-2000,38.903297,-77.039502
20037,39,4,WMATA,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange)",FOGGY BOTTOM METRO STATION,"Metrorail Blue Line(Blue), Metrorail Orange Line(Orange) FOGGY BOTTOM METRO STATION",Pre-2000,38.900705,-77.050026
20737,39,4,WMATA,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow)",COLLEGE PARK/U OF MD METRO STATION,"Metrorail Green Line(Green), Metrorail Yellow Line(Yellow) COLLEGE PARK/U OF MD METRO STATION",Pre-2000,38.9784,-76.928197
